entity_text,pwc_gold_name,entity_type
Adult Census,adult census income,DATASET
adult,adult,DATASET
Bank Marketing,bank marketing,DATASET
Bank%2BMarketing,bank marketing,DATASET
Credit Card Default,default of credit card clients data set,DATASET
Dutch Census,NIL,DATASET
COMPAS,compas,DATASET
compas,compas,DATASET
OntoEvent,ontoevent,DATASET
OntoEvent,ontoevent,DATASET
OntoEvent,ontoevent,DATASET
MAVEN,maven,DATASET
OntoEvent,ontoevent,DATASET
OntoEvent,ontoevent,DATASET
OntoEvent,ontoevent,DATASET
OntoEvent,ontoevent,DATASET
OntoEvent,ontoevent,DATASET
OntoEvent,ontoevent,DATASET
OntoEvent,ontoevent,DATASET
ACE 2005,ace 2005,DATASET
TAC KBP 2017,NIL,DATASET
FewEvent,fewevent,DATASET
MAVEN,maven,DATASET
OntoEvent,ontoevent,DATASET
OntoEvent,ontoevent,DATASET
OntoEvent,ontoevent,DATASET
OntoEvent,ontoevent,DATASET
VisDial v1.0,visdial,DATASET
VisDial v1.0,visdial,DATASET
VisDial v1.0,visdial,DATASET
Visual Genome,visual genome,DATASET
VisDial v1.0,visdial,DATASET
MSCOCO,ms coco,DATASET
Flickr,flickr1024,DATASET
MSCOCO,ms coco,DATASET
MSCOCO,ms coco,DATASET
Flickr,flickr1024,DATASET
Flickr,flickr1024,DATASET
AFHQ,afhq,DATASET
afhq,afhq,DATASET
AnimalFaces,afhq,DATASET
AFHQ,afhq,DATASET
AnimalFaces,afhq,DATASET
afhq,afhq,DATASET
animal_faces,afhq,DATASET
ffhq,ffhq,DATASET
lsun_car,lsun,DATASET
animal_faces,afhq,DATASET
animal_faces,afhq,DATASET
animal_faces,afhq,DATASET
animal_faces,afhq,DATASET
animal_faces,afhq,DATASET
animal_faces,afhq,DATASET
afhq_cat,afhq,DATASET
animal_faces,afhq,DATASET
summer2winter,NIL,DATASET
animal_faces,afhq,DATASET
afhq_cat,afhq,DATASET
summer2winter,NIL,DATASET
animal_faces,afhq,DATASET
AFHQ,afhq,DATASET
afhq_cat,afhq,DATASET
afhq_cat,afhq,DATASET
AFHQ,afhq,DATASET
afhq_dog,afhq,DATASET
afhq,afhq,DATASET
afhq_dog,afhq,DATASET
AFHQ,afhq,DATASET
afhq,afhq,DATASET
afhq,afhq,DATASET
afhq_wild,afhq,DATASET
AnimalFaces,afhq,DATASET
animal_faces,afhq,DATASET
animal_faces,afhq,DATASET
AnimalFaces,afhq,DATASET
afhq_cat,afhq,DATASET
afhq_dog,afhq,DATASET
afhq_wild],afhq,DATASET
CIFAR-10,cifar-10,DATASET
CIFAR-10,cifar-10,DATASET
CIFAR-10,cifar-10,DATASET
WikiSQL,wikisql,DATASET
WikiSQL,wikisql,DATASET
WikiSQL,wikisql,DATASET
wikisql,wikisql,DATASET
WikiSQL,wikisql,DATASET
WikiSQL,wikisql,DATASET
wikisql,wikisql,DATASET
wikisql,wikisql,DATASET
wikisql,wikisql,DATASET
wikisql,wikisql,DATASET
wikisql,wikisql,DATASET
WikiSQL,wikisql,DATASET
WikiSQL,wikisql,DATASET
wikisql,wikisql,DATASET
WikiSQL v1.1,wikisql,DATASET
wikisql,wikisql,DATASET
wikisql,wikisql,DATASET
SciTweets,NIL,DATASET
SciTweets,NIL,DATASET
SciTweets,NIL,DATASET
SciTweets,NIL,DATASET
SciTweets,NIL,DATASET
SciTweets,NIL,DATASET
ip_dataset.csv,NIL,DATASET
ip_dataset.csv,NIL,DATASET
ip_dataset.csv,NIL,DATASET
Moving MNIST,moving mnist,DATASET
BAIR Robot Pushing,bair robot pushing,DATASET
Human3.6M,human3.6m,DATASET
KTH Action,kth,DATASET
KittiCaltech Pedestrian,NIL,DATASET
Kinetics-400,kinetics 400,DATASET
kinetics,kinetics,DATASET
Moving MNIST,moving mnist,DATASET
mmnist,NIL,DATASET
Moving FMNIST,NIL,DATASET
mfmnist,NIL,DATASET
TaxiBJ,taxibj,DATASET
TaxiBJ,taxibj,DATASET
WeatherBench,weatherbench,DATASET
WeatherBench,weatherbench,DATASET
Moving MNIST,moving mnist,DATASET
Moving FMNIST,NIL,DATASET
mmnist,NIL,DATASET
Moving MNIST-CIFAR,NIL,DATASET
KittiCaltech,NIL,DATASET
moving_mnist,moving mnist,DATASET
kitticaltech,NIL,DATASET
KTH,kth,DATASET
Human 3.6M,human3.6m,DATASET
Traffic - in flow,traffic,DATASET
Traffic - out flow,traffic,DATASET
Weather - Temperature,weather,DATASET
Weather - Humidity,weather,DATASET
Weather - Latitude Wind,weather,DATASET
Weather - Cloud Cover,weather,DATASET
BAIR Robot Pushing,bair robot pushing,DATASET
Kinetics-400,kinetics 400,DATASET
NUBes,NIL,DATASET
NUBes,NIL,DATASET
NUBes,NIL,DATASET
IULA+,NIL,DATASET
nubes,NIL,DATASET
iula,NIL,DATASET
NUBes,NIL,DATASET
IULA+,NIL,DATASET
NUBes,NIL,DATASET
Negation and Uncertainty annotations in Biomedical texts in Spanish,NIL,DATASET
IULA+,NIL,DATASET
IULA-SCRC,NIL,DATASET
iula,NIL,DATASET
IULA,NIL,DATASET
NUBes,NIL,DATASET
NUBes,NIL,DATASET
NUBes,NIL,DATASET
IULA+,NIL,DATASET
NUBes,NIL,DATASET
NUBes,NIL,DATASET
NUBes,NIL,DATASET
NUBes,NIL,DATASET
IULA+,NIL,DATASET
NUBes,NIL,DATASET
IULA+,NIL,DATASET
NUBes,NIL,DATASET
NUBes,NIL,DATASET
NUBes,NIL,DATASET
IULA-SCRC,NIL,DATASET
NUBes,NIL,DATASET
IULA+,NIL,DATASET
NUBes,NIL,DATASET
IULA+,NIL,DATASET
IULA-SCRC,NIL,DATASET
NUBes,NIL,DATASET
NUBes,NIL,DATASET
IULA+,NIL,DATASET
IULA+,NIL,DATASET
NUBes,NIL,DATASET
NUBes,NIL,DATASET
NUBes,NIL,DATASET
AppSim,NIL,DATASET
RefExp,google refexp,DATASET
Rico,ricosca,DATASET
AppSim,NIL,DATASET
RefExp,google refexp,DATASET
Rico,ricosca,DATASET
rico,ricosca,DATASET
AppSim,NIL,DATASET
RefExp,google refexp,DATASET
ref_exp,google refexp,DATASET
ref_exp,google refexp,DATASET
HaluEval,halueval,DATASET
HaluEval,halueval,DATASET
HaluEval,halueval,DATASET
HaluEval,halueval,DATASET
HotpotQA,hotpotqa,DATASET
HaluEval,halueval,DATASET
HaluEval,halueval,DATASET
HotpotQA,hotpotqa,DATASET
hotpotqa,hotpotqa,DATASET
HotpotQA,hotpotqa,DATASET
OpenDialKG,opendialkg,DATASET
opendialkg,opendialkg,DATASET
OpenDialKG,opendialkg,DATASET
CNN/Daily Mail,cnn/daily mail,DATASET
cnn-dailymail,cnn/daily mail,DATASET
CNN/Daily Mail,cnn/daily mail,DATASET
HotpotQA,hotpotqa,DATASET
OpenDialKG,opendialkg,DATASET
CNN/Daily Mail,cnn/daily mail,DATASET
hotpot/hotpot_train_v1.1,hotpotqa,DATASET
opendialkg,opendialkg,DATASET
opendialkg,opendialkg,DATASET
ccdv/cnn_dailymail,cnn/daily mail,DATASET
HotpotQA,hotpotqa,DATASET
OpenDialKG,opendialkg,DATASET
CNN/Daily Mail,cnn/daily mail,DATASET
hotpot_train_v1.1,hotpotqa,DATASET
HaluEval,halueval,DATASET
HaluEval,halueval,DATASET
HaluEval,halueval,DATASET
Goldfinch,goldfinch,DATASET
Goldfinch,goldfinch,DATASET
Goldfinch,goldfinch,DATASET
cub,cub-200-2011,DATASET
CUB,cub-200-2011,DATASET
CUB,cub-200-2011,DATASET
birdsnap,birdsnap,DATASET
Birdsnap,birdsnap,DATASET
Birdsnap,birdsnap,DATASET
fgvc,fgvc-aircraft,DATASET
FGVC-Aircraft,fgvc-aircraft,DATASET
FGVC,fgvc-aircraft,DATASET
FGVC,fgvd,DATASET
Stanford Dogs,stanford dogs,DATASET
Stanford Dogs,stanford dogs,DATASET
L-Bird,l-bird,DATASET
L-Butterfly,NIL,DATASET
L-Dog,l-bird,DATASET
L-Aircraft,NIL,DATASET
Flickr testing set,flickr1024,DATASET
Yahoo Flickr Creative Commons 100M,flickr1024,DATASET
SVAMP,svamp,DATASET
SVAMP,svamp,DATASET
GSM8K,gsm8k,DATASET
gsm8k,gsm8k,DATASET
MAWPS,mawps,DATASET
mawps,mawps,DATASET
gsm8k,gsm8k,DATASET
XOR,xor-tydi qa,DATASET
Spiral,NIL,DATASET
Circle,circle,DATASET
Security,NIL,DATASET
Intrusion Detection,NIL,DATASET
ids-2017,cicids2017,DATASET
CICIDS2017,cicids2017,DATASET
Tor-nonTor,NIL,DATASET
tor,NIL,DATASET
ISCXTor2016,NIL,DATASET
DDoS Attach,NIL,DATASET
ids-2018,NIL,DATASET
CSE-CIC-IDS2018,NIL,DATASET
NSL version of KDD Security,NIL,DATASET
nsl,NIL,DATASET
NSL-KDD,NIL,DATASET
NSL_KDD_Security,NIL,DATASET
DDoS Evaluation,NIL,DATASET
ddos-2019,NIL,DATASET
CICDDoS2019,NIL,DATASET
CICDDoS2019_Security,NIL,DATASET
CIC DoS,NIL,DATASET
dos,NIL,DATASET
CICDoS2017,NIL,DATASET
VPN-nonVPN,NIL,DATASET
vpn,NIL,DATASET
ISCXVPN2016,NIL,DATASET
Botnet,botnet,DATASET
BotNet2014,botnet,DATASET
MLBENCH,NIL,DATASET
XOR,xor-tydi qa,DATASET
XOR,xor-tydi qa,DATASET
Spiral,NIL,DATASET
Spiral,NIL,DATASET
Circle,circle,DATASET
Circle,circle,DATASET
Smiley,NIL,DATASET
Smiley,NIL,DATASET
GTSRB,gtsrb,DATASET
German Traffic Sign Recognition Benchmark,NIL,DATASET
German_Traffic_Sign_Recognition,NIL,DATASET
GTSR,gtsrb,DATASET
GTSRB,gtsrb,DATASET
cifar,cifar-10,DATASET
CIFAR 10,cifar-10,DATASET
CIFAR_10,cifar-10,DATASET
NarrativeQA,narrativeqa,DATASET
Qasper,qasper,DATASET
MultiFieldQA,multireqa,DATASET
HotpotQA,hotpotqa,DATASET
2WikiMQA,2wikimultihopqa,DATASET
Musique,musique-ans,DATASET
GovReport,govreport,DATASET
QMSum,qmsum,DATASET
MultiNews,multi-news,DATASET
TREC,trecvqa,DATASET
TriviaQA,triviaqa,DATASET
SAMSum,samsum,DATASET
PassageRetrieval,NIL,DATASET
LCC,lcc,DATASET
RepoBench-P,repobench,DATASET
LongBench,longbench,DATASET
20480words_10x10x3_7digits,NIL,DATASET
ImageNet,imagenet,DATASET
imagenet2012,imagenet,DATASET
Pascal VOC 2007,pascal voc 2007,DATASET
Coil100,coil100-augmented,DATASET
Pascal VOC 2007,pascal voc 2007,DATASET
Coil100,coil100-augmented,DATASET
Coil100,coil100-augmented,DATASET
coil100,coil100-augmented,DATASET
ImageNet,imagenet,DATASET
Boston Housing,the boston housing dataset,DATASET
boston,the boston housing dataset,DATASET
Iris,iris,DATASET
iris,iris,DATASET
CADEC,NIL,DATASET
ICHI,NIL,DATASET
Annotated CADEC,NIL,DATASET
CADEC,NIL,DATASET
CADEC,NIL,DATASET
ICHI,NIL,DATASET
ICHI,NIL,DATASET
CADEC,NIL,DATASET
CUB,cub-200-2011,DATASET
AltEntities,NIL,DATASET
Alternative Entities,NIL,DATASET
AltEntities,NIL,DATASET
HaloQuest,NIL,DATASET
HaloQuest,NIL,DATASET
haloquest,NIL,DATASET
HaloQuest,NIL,DATASET
HaloQuest,NIL,DATASET
HaloQuest,NIL,DATASET
haloquest,NIL,DATASET
HaloQuest,NIL,DATASET
HaloQuest,NIL,DATASET
HaloQuest,NIL,DATASET
Open Images,open images v7,DATASET
HaloQuest,NIL,DATASET
Open Images Dataset v7,open images v7,DATASET
openimages,open images v7,DATASET
Sachs,sachs,DATASET
Sachs,sachs,DATASET
MOT17,mot17,DATASET
crowdhuman,crowdhuman,DATASET
MOTSynth,motsynth,DATASET
crowdhuman,crowdhuman,DATASET
MOT17,mot17,DATASET
MOTSynth,motsynth,DATASET
crowdhuman,crowdhuman,DATASET
MOT17,mot17,DATASET
MOT17,mot17,DATASET
MOT17,mot17,DATASET
MOTSynth,motsynth,DATASET
MOTSynth,motsynth,DATASET
MOTSynth,motsynth,DATASET
crowdhuman,crowdhuman,DATASET
MOT17,mot17,DATASET
MOT17,mot17,DATASET
MOTSynth,motsynth,DATASET
MOT17,mot17,DATASET
MOT17,mot17,DATASET
MOT17,mot17,DATASET
MOT17,mot17,DATASET
crowdhuman,crowdhuman,DATASET
MOTSynth,motsynth,DATASET
Fakepedia,NIL,DATASET
Fakepedia,NIL,DATASET
Fakepedia,NIL,DATASET
Fakepedia,NIL,DATASET
Fakepedia,NIL,DATASET
MRQA,mrqa,DATASET
mrqa,mrqa,DATASET
PAVS10K,NIL,DATASET
PAVS10K,NIL,DATASET
PAVS10K,NIL,DATASET
PAVS10K,NIL,DATASET
PAVS10K,NIL,DATASET
PAVS10K,NIL,DATASET
PAVS10K,NIL,DATASET
PAVS10K,NIL,DATASET
PAVS10K,NIL,DATASET
PAVS10K,NIL,DATASET
PAVS10K,NIL,DATASET
HAGRID,NIL,DATASET
HAGRID,NIL,DATASET
HAGRID,NIL,DATASET
MIRACL,NIL,DATASET
miracl,NIL,DATASET
HAGRID,NIL,DATASET
miracl/hagrid,NIL,DATASET
miracl/hagrid,NIL,DATASET
HAGRID,NIL,DATASET
HAGRID,NIL,DATASET
SRD,srd,DATASET
AISTD|ISTD+,istd+,DATASET
ISTD,istd,DATASET
USR: Unpaired Shadow Removal Dataset,NIL,DATASET
LRSS: Soft Shadow Dataset,NIL,DATASET
softshadows,NIL,DATASET
LRSS,lrs2,DATASET
LRSS,lrs2,DATASET
USR,NIL,DATASET
ISTD/ISTD+,istd+,DATASET
ISTD,istd,DATASET
USR,NIL,DATASET
USR,NIL,DATASET
USR,NIL,DATASET
LRSS,lrs2,DATASET
SRD,srd,DATASET
SRD,srd,DATASET
SRD,srd,DATASET
/dataset/SRD/testA/,NIL,DATASET
SRD,srd,DATASET
SRD,srd,DATASET
AISTD,aist++,DATASET
USR,NIL,DATASET
SRD,srd,DATASET
AISTD,aist++,DATASET
AISTD,aist++,DATASET
ISTD,istd,DATASET
ISTD,istd,DATASET
USR,NIL,DATASET
USR,NIL,DATASET
SRD,srd,DATASET
SRD,srd,DATASET
AISTD,aist++,DATASET
AISTD,aist++,DATASET
ISTD,istd,DATASET
ISTD,istd,DATASET
USR,NIL,DATASET
USR,NIL,DATASET
DC-ShadowNet-Hard-and-Soft-Shadow-Remova,NIL,DATASET
SRD,srd,DATASET
SRD,srd,DATASET
SRD,srd,DATASET
SRD,srd,DATASET
SRD,srd,DATASET
SRD,srd,DATASET
SRD,srd,DATASET
SRD,srd,DATASET
ISTD,istd,DATASET
istd,istd,DATASET
ISTD,istd,DATASET
istd,istd,DATASET
USR,NIL,DATASET
USR,NIL,DATASET
LRSS,lrs2,DATASET
lrss,lrs2,DATASET
LRSS,lrs2,DATASET
lrss,lrs2,DATASET
SRD,srd,DATASET
SRD,srd,DATASET
SRD,srd,DATASET
SRD,srd,DATASET
SRD,srd,DATASET
AISTD,aist++,DATASET
AISTD,aist++,DATASET
AISTD,aist++,DATASET
LRSS,lrs2,DATASET
lrss,lrs2,DATASET
lrss,lrs2,DATASET
LRSS,lrs2,DATASET
FaceWarehouse,facewarehouse,DATASET
MICC Florence,florence,DATASET
BU-3DFE,NIL,DATASET
FaceWareHouse,facewarehouse,DATASET
Florence,florence,DATASET
BU3DFE,NIL,DATASET
AFLW_2000,aflw,DATASET
CoarseData,NIL,DATASET
Coarse,NIL,DATASET
Facewarehouse,facewarehouse,DATASET
ImageNet,imagenet,DATASET
CelebA,celeba,DATASET
CelebA,celeba,DATASET
cityscapes,cityscapes,DATASET
BSARD,bsard,DATASET
Belgian Statutory Article Retrieval Dataset,NIL,DATASET
BSARD,bsard,DATASET
BSARD,bsard,DATASET
BSARD,bsard,DATASET
ASSIN2,assin2,DATASET
ASSIN2,assin2,DATASET
ASSIN2,assin2,DATASET
MNLI,NIL,DATASET
ASSIN2,assin2,DATASET
SQuAD,squad,DATASET
FaQuAD,faquad,DATASET
MNLI,NIL,DATASET
ASSIN2,assin2,DATASET
SQuAD,squad,DATASET
MNLI,NIL,DATASET
FaQuAD,faquad,DATASET
ASSIN2,assin2,DATASET
SQuAD,squad,DATASET
FaQuAD,faquad,DATASET
MNLI,NIL,DATASET
ASSIN2,assin2,DATASET
Cora,cora,DATASET
CORA,cora,DATASET
Citeseer,citeseer,DATASET
Pubmed,pubmed,DATASET
DBLP,dblp,DATASET
Cora,cora,DATASET
cora,cora,DATASET
Cora,cora,DATASET
cora,cora,DATASET
cora,cora,DATASET
cora,cora,DATASET
cora,cora,DATASET
SQuAD,squad,DATASET
Visual Genome,visual genome,DATASET
VG_100K,NIL,DATASET
VG_100K_2,NIL,DATASET
BlackScholes,NIL,DATASET
Heston,NIL,DATASET
Ornstein-Uhlenbeck,NIL,DATASET
OrnsteinUhlenbeck,NIL,DATASET
Heston,NIL,DATASET
Heston,NIL,DATASET
Physionet,physion,DATASET
Physionet,physion,DATASET
Physionet,physion,DATASET
physionet,physion,DATASET
MNIST,mnist,DATASET
MNIST,mnist,DATASET
WordNet,languagenet,DATASET
wordnet,languagenet,DATASET
KITTI,kitti,DATASET
kitti,kitti,DATASET
KITTI,kitti,DATASET
KITTI,kitti,DATASET
Kitti,kitti,DATASET
kitti,kitti,DATASET
kitti,kitti,DATASET
Cityscapes,cityscapes,DATASET
Cityscapes,cityscapes,DATASET
KITTI,kitti,DATASET
KITTI,kitti,DATASET
multi-centric heterogeneous cine-SSFPs CMR TOF,NIL,DATASET
TOF,tot,DATASET
NELA-GT-2019,nela-gt-2019,DATASET
NELA-GT-2019,nela-gt-2019,DATASET
NELA-GT-2019,nela-gt-2019,DATASET
NELA-GT-2019,nela-gt-2019,DATASET
NELA,NIL,DATASET
NELA,NIL,DATASET
COCO,ms coco,DATASET
COCO,ms coco,DATASET
COCO,ms coco,DATASET
COCO,ms coco,DATASET
ImageNet,imagenet,DATASET
COCO trainval35k,ms coco,DATASET
VOC 2012,pascal voc 2011,DATASET
SBD,sbd,DATASET
COCO,ms coco,DATASET
minival,NIL,DATASET
minival,NIL,DATASET
val2014 minus minival (val35k),NIL,DATASET
valminusminival2014,NIL,DATASET
minival2014,NIL,DATASET
COCO,ms coco,DATASET
VOC,pascal voc 2007,DATASET
COCO,ms coco,DATASET
VOC,pascal voc 2007,DATASET
COCO,ms coco,DATASET
S2ORC,s2orc,DATASET
s2orc,s2orc,DATASET
s2orc,s2orc,DATASET
S2ORC,s2orc,DATASET
S2ORC,s2orc,DATASET
s2orc,s2orc,DATASET
s2orc,s2orc,DATASET
s2orc,s2orc,DATASET
s2orc,s2orc,DATASET
s2orc,s2orc,DATASET
s2orc,s2orc,DATASET
S2ORC,s2orc,DATASET
S2ORC,s2orc,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
refcoco,refcoco,DATASET
SC-PDB,NIL,DATASET
scpdb,NIL,DATASET
COACH420,NIL,DATASET
HOLO4K,NIL,DATASET
MOAD,NIL,DATASET
MOAD,NIL,DATASET
PDBBind,NIL,DATASET
PDBbind_v2020,NIL,DATASET
coach420,NIL,DATASET
holo4k,NIL,DATASET
holo4k,NIL,DATASET
holo4k,NIL,DATASET
pdbbind2020,NIL,DATASET
holo4k,NIL,DATASET
coach420,NIL,DATASET
MOAD,NIL,DATASET
scpdb,NIL,DATASET
scpdb,NIL,DATASET
scpdb,NIL,DATASET
scpdb,NIL,DATASET
coach420,NIL,DATASET
coach420,NIL,DATASET
holo4k,NIL,DATASET
holo4k,NIL,DATASET
holo4k,NIL,DATASET
holo4k,NIL,DATASET
pdbbind2020,NIL,DATASET
pdbbind2020,NIL,DATASET
coach420,NIL,DATASET
coach420,NIL,DATASET
pdbbind2020,NIL,DATASET
holo4k,NIL,DATASET
holo4k,NIL,DATASET
KILT,kilt,DATASET
AIDA CoNLL,NIL,DATASET
AIDA,NIL,DATASET
KILT,kilt,DATASET
AIDA,NIL,DATASET
KILT,kilt,DATASET
AIDA testb,NIL,DATASET
MSNBC,NIL,DATASET
Der,NIL,DATASET
K50,NIL,DATASET
R128,NIL,DATASET
R500,NIL,DATASET
OKE15,NIL,DATASET
OKE16,NIL,DATASET
yelp_dataset,NIL,DATASET
yelp_dataset,NIL,DATASET
BOOKSUM,booksum,DATASET
BookSum,booksum,DATASET
BookSum,booksum,DATASET
sop,NIL,DATASET
cub,cub-200-2011,DATASET
CUB200-2011,cub-200-2011,DATASET
cars,car,DATASET
CARS196,cars196,DATASET
sop,NIL,DATASET
Standford Online Porducts,NIL,DATASET
inshop,NIL,DATASET
In-Shop cloths retireval,NIL,DATASET
vid,NIL,DATASET
PKU Vehicle id,NIL,DATASET
CUB200-2011,cub-200-2011,DATASET
CUB-200,cub-200-2011,DATASET
CARS196,cars196,DATASET
cars,car,DATASET
Stanford Online Products,stanford online products,DATASET
In-shop Clothes Retrieval Benchmark,NIL,DATASET
PKU VehicleID,vehicleid,DATASET
pku-vehicleid,vehicleid,DATASET
cars196,cars196,DATASET
CUB200-2011,cub-200-2011,DATASET
cub-200-2011,cub-200-2011,DATASET
Cars196,cars196,DATASET
cars,car,DATASET
cars196,cars196,DATASET
Stanford Online Products,stanford online products,DATASET
sop,NIL,DATASET
In-shop Clothes,NIL,DATASET
PKU Vehicle id,NIL,DATASET
CUB200,cub-200-2011,DATASET
Cars196,cars196,DATASET
In-Shop Clothes,in-shop,DATASET
Online Products,stanford online products,DATASET
VID,NIL,DATASET
BIOSSES,biosses,DATASET
biosses,biosses,DATASET
mteb/sts12-sts,mteb,DATASET
mteb/sts13-sts,mteb,DATASET
mteb/sts14-sts,mteb,DATASET
mteb/sts15-sts,mteb,DATASET
mteb/sts16-sts,mteb,DATASET
BIOSSES,biosses,DATASET
biosses,biosses,DATASET
mteb/sts12-sts,mteb,DATASET
mteb/sts13-sts,mteb,DATASET
mteb/sts14-sts,mteb,DATASET
mteb/sts15-sts,mteb,DATASET
mteb/sts16-sts,mteb,DATASET
FewEvent,fewevent,DATASET
ACE-2005 corpus,NIL,DATASET
TAC-KBP-2017 Event Track Data,NIL,DATASET
NuScenes-QA,nuscenes,DATASET
nuScenes,nuscenes,DATASET
NuScenes-QA,nuscenes,DATASET
so-ds-feb20,NIL,DATASET
so-ds-feb20,NIL,DATASET
staqc-py,staqc,DATASET
staqc-py-cleaned,staqc,DATASET
so-ds-feb20,NIL,DATASET
so-python-question-titles-feb20,NIL,DATASET
so-duplicates-pacsv1-train,NIL,DATASET
staqc-py-cleaned,NIL,DATASET
so-duplicates-pacs-train,NIL,DATASET
so-ds-feb20,NIL,DATASET
staqc-py-cleaned,staqc,DATASET
conala-curated,conala,DATASET
staqc-py,staqc,DATASET
conala-curated,conala,DATASET
so-ds-feb20,NIL,DATASET
staqc-py-cleaned,staqc,DATASET
StackOverflow,NIL,DATASET
conala-curated,conala,DATASET
CoNaLa,conala,DATASET
conala,conala,DATASET
codesearchnet,codesearchnet,DATASET
CodeSearchNet,codesearchnet,DATASET
CodeSearchNet,codesearchnet,DATASET
codesearchnet,codesearchnet,DATASET
CodeSearchNet,codesearchnet,DATASET
CodeSearchNet,codesearchnet,DATASET
so-ds-feb20,NIL,DATASET
so-ds-feb20,NIL,DATASET
staqc-py-cleaned,NIL,DATASET
staqc-py-cleaned,NIL,DATASET
conala-curated-0.5-test,NIL,DATASET
CoNaLa,conala,DATASET
so-ds-feb20,NIL,DATASET
staqc-py,staqc,DATASET
PACS,pacs,DATASET
PACS,pacs,DATASET
PACS,pacs,DATASET
pacs,pacs,DATASET
pacs,pacs,DATASET
Movielens-1M,movielens,DATASET
Amazon-Book,amazon-book,DATASET
Yelp-2018,yelp2018,DATASET
Gowalla,gowalla,DATASET
MovieLens-1M,movielens,DATASET
iSQUAD,NIL,DATASET
Google Speech Commands,speech commands,DATASET
speech_commands_v0.02,speech commands,DATASET
speech_commands_v0.02,speech commands,DATASET
speech_commands_v0.02,speech commands,DATASET
wget,NIL,DATASET
speech_commands_v0.01,speech commands,DATASET
speech_commands_v0.01,speech commands,DATASET
speech_commands_v0.01,speech commands,DATASET
Speech Commands V2,speech commands,DATASET
Google Speech Commands v2,google speech commands - musan,DATASET
WIDER FACE,wider,DATASET
WIDER FACE,wider,DATASET
WIDERFACE,wider,DATASET
MaSTr1325,NIL,DATASET
MaSTr1325,NIL,DATASET
RELISH,NIL,DATASET
TRECCOVID,NIL,DATASET
CORD-19,cord-19,DATASET
treccovid,NIL,DATASET
TRECCOVID,NIL,DATASET
treccovid,NIL,DATASET
SciDocs,scidocs,DATASET
scidocs,scidocs,DATASET
CSFCube,csfcube,DATASET
CSFCube,csfcube,DATASET
S2ORC,s2orc,DATASET
s2orc,s2orc,DATASET
RELISH,NIL,DATASET
TRECCOVID,NIL,DATASET
CSFCube,csfcube,DATASET
SciDocs,scidocs,DATASET
S2ORC,s2orc,DATASET
s2orc,s2orc,DATASET
S2ORC,s2orc,DATASET
relish,NIL,DATASET
scidocs,scidocs,DATASET
treccovid,NIL,DATASET
RELISH,NIL,DATASET
TRECCOVID,NIL,DATASET
SciDocs,scidocs,DATASET
CSFCube,csfcube,DATASET
Semantic Scholar Open Research Corpus,s2orc,DATASET
s2orc,s2orc,DATASET
S2ORC,s2orc,DATASET
RELISH,NIL,DATASET
TRECCOVID,s2orc,DATASET
SciDocs,scidocs,DATASET
CSFCube,csfcube,DATASET
