,sentence,entity_text,entity_type
324,> [Cite using BibTeX](https://crawdad.org/unm/blebeacon/20190312/)    # Technical Summary  ## Operation     Users carried off-the-shelf Gimbal Series 10 iBeacons that continuously transmit BLE advertisement packets.,blebeacon,DATASET
325,"[RSSI](https://github.com/dimisik/BLEBeacon-Dataset/blob/master/images/ARCH.png) * RSSI Report: all advertisement packet receptions from beacon devices are directly reported to a server with a message that contains the beacon/user ID, the packet's Received Signal Strength Indicator (RSSI), a reception timestamp, and finally the ID of the RPi that received the advertisement (Fig. 1).   !",BLEBeacon,DATASET
326,[Check](https://github.com/dimisik/BLEBeacon-Dataset/blob/master/images/check.png) * Check-In/Check-Out Report: each RPi scanner continuously manages a list of current occupants/users in its proximity.,BLEBeacon,DATASET
327,"A thirty-second period is used to ensure that the occupant exited the RPi proximity.   ## Dataset  The BLEBeacon dataset contains two files, one with the trial readings from the RSSI report operation (RSSI Report file) and the other from the Check-In/Check-Out report operation (Check-In Check-Out Report file).",BLEBeacon,DATASET
328,"# Readme  Further information and a detailed description of the sensing infrastructure setup, the real-subject trial, and the BLEBeacon dataset can be found in: D.",BLEBeacon,DATASET
329,"Devetsikiotis,  [""BLEBeacon: A Real-Subject Trial Dataset from Mobile Bluetooth Low Energy Beacons""](https://arxiv.org/abs/1802.08782), arXiv preprint arXiv:1802.08782, 2018.   ### Research Papers   Publications related to the BLEBeacon dataset:  * D.",BLEBeacon,DATASET
330,"Devetsikiotis,  [""BLEBeacon: A Real-Subject Trial Dataset from Mobile Bluetooth Low Energy Beacons""](https://arxiv.org/abs/1802.08782), arXiv preprint arXiv:1802.08782, 2018.   ### Research Papers   Publications related to the BLEBeacon dataset:  * D.",BLEBeacon,DATASET
331,# NELA-GT-2019  This repository contain examples of how to use the NELA-GT-2019 data set with Python 3.,NELA-GT-2019,DATASET
332,# NELA-GT-2019  This repository contain examples of how to use the NELA-GT-2019 data set with Python 3.,NELA-GT-2019,DATASET
333,"persistentId=doi:10.7910/DVN/O7FWPO  __For more details about this dataset, check the paper__: https://arxiv.org/abs/2003.08444  If you use this dataset in your work, please cite us as follows: <br> ``` @misc{     gruppi2020nelagt2019,     title={NELA-GT-2019: A Large Multi-Labelled News Dataset for The Study of Misinformation in News Articles},     author={Maurício Gruppi and Benjamin D.",NELA-GT-2019,DATASET
334,"Horne and Sibel Adalı},     year={2020},     eprint={2003.08444},     archivePrefix={arXiv},     primaryClass={cs.CY} } ``` ## Data  Metadata|| ---|--- Dataset name|`NELA-GT-2019` Formats|`Sqlite3`,`JSON` No. of articles|`1118821` No. of sources|`261` Collection period|`2019-01-01` to `2019-12-31`  ### Fields  Each data point collected corresponds to an article and contains the fields described below.",NELA-GT-2019,DATASET
335,+ Loading data from single or multiple sources from the database   + Loading data from the database into a Pandas dataframe  Usage: ``` python3 load-sqlite3.py <path-to-database> ```  ###  load-json.py  * How to load NELA in JSON format with Python 3,NELA,DATASET
336,+ Loading a single source's JSON   + Loading a directory of NELA JSON files - **WARNING**: this consumes a lot of memory  Usage: ``` python3 load-json.py <path-to-file> ```,NELA,DATASET
337,"For image-text retrieval on Flickr30K and MSCOCO, we compute IR@1 and TR@1 for the Recall@1 on image-retrieval (IR) and text-retrieval (TR).",Flickr30K,DATASET
338,"For image-text retrieval on Flickr30K and MSCOCO, we compute IR@1 and TR@1 for the Recall@1 on image-retrieval (IR) and text-retrieval (TR).",MSCOCO,DATASET
339,"We present the results on three different model sizes in the table below, including the training times of TempNet on Nvidia A100-80G GPUs and their win rates on AlpacaEval data.",AlpacaEval,DATASET
340,"<div align=""center"">   <img src=""images/exp4.jpg"" width=""40%""/> </div>  Here, we reveal why TempNet enhances performance by comparing the performances of LLaMA2 7B Chat (with the default $\tau=0.7$) and LLaMA2 7B Chat + TempNet on the AlpacaEval dataset.",AlpacaEval,DATASET
341,The results are saved at `data/sst2/filter_train_nonewline.json` and `data/sst2/filter_val_nonewline.json`.  ``` python build_classifier_data_for_sst2.py ```  3.,sst2,DATASET
342,The results are saved at `data/sst2/filter_train_nonewline.json` and `data/sst2/filter_val_nonewline.json`.  ``` python build_classifier_data_for_sst2.py ```  3.,sst2,DATASET
343,The results are saved at `data/sst2/filter_train_nonewline.json` and `data/sst2/filter_val_nonewline.json`.  ``` python build_classifier_data_for_sst2.py ```  3.,sst2,DATASET
344,The logits are saved at `dp_finetuning/sst2/domain_classifier_output`.,sst2,DATASET
345,"**In this simple implementation, we directly select natural sentences instead of fixed-length sequences.** We found that this simple implementation is enough to achieve good performance on SST-2.   ``` cd ..",SST-2,DATASET
346,Private fine-tuning on sst-2.,sst-2,DATASET
347,"/codes/examples.py --model_name_or_path GAIR/ReasonEval-7B # Specify the model name or path here --model_size 7B # Indicate the model size of ReasonEval (7B or 34B) ```  ## Meta Evaluation ### Datasets The datasets for meta-evaluations are composed of three parts:  - **Meta-Reasoning-MATH**: This dataset is constructed as follows:    - To collect the first type of errors affecting the correctness of steps, we recruit undergraduates who have a solid mathematical background to label solutions generated by Abel and WizardMath.",Meta-Reasoning-MATH,DATASET
348,/dataset/mr-math_invalid_errors.json     {       // Instance ID.,mr-math_invalid_errors,DATASET
349,"""model_output_solution_first_error_step"": ""N/A""     }     ```    - For the second type of errors affecting the efficiency of problem solving process, as they are more rarer than the first one, we sample solutions from the test set of [PRM800K](https://github.com/openai/prm800k) directly, containing 150 samples with redundant steps and 150 samples without.",PRM800K,DATASET
350,"""model_output_solution_first_error_step"": ""N/A""     }     ```    - For the second type of errors affecting the efficiency of problem solving process, as they are more rarer than the first one, we sample solutions from the test set of [PRM800K](https://github.com/openai/prm800k) directly, containing 150 samples with redundant steps and 150 samples without.",prm800k,DATASET
351,/dataset/mr-math_redundant_errors.json     {       // Instance ID.,mr-math_redundant_errors,DATASET
352,"""generator"": ""GPT-4 (PRM800K)"",        // The solution in a step-by-step format.",PRM800K,DATASET
353,"""rating"": [1, 1, 1, 1, 1, 1, 1, 1, 1]     }     ``` - **Meta-Reasoning-GSM8K**: This dataset consists of 3000 solutions from problems in GSM8K, including variations of code solutions and backward reasoning.",Meta-Reasoning-GSM8K,DATASET
354,"""rating"": [1, 1, 1, 1, 1, 1, 1, 1, 1]     }     ``` - **Meta-Reasoning-GSM8K**: This dataset consists of 3000 solutions from problems in GSM8K, including variations of code solutions and backward reasoning.",GSM8K,DATASET
355,"For more details, see the official repository for [MR-GSM8K](https://github.com/dvlab-research/MR-GSM8K). - **Perturbation**: We introduce 6 types of errors to one of the intermediate steps in the solutions from the test set of [PRM800K](https://github.com/openai/prm800k).",MR-GSM8K,DATASET
356,"For more details, see the official repository for [MR-GSM8K](https://github.com/dvlab-research/MR-GSM8K). - **Perturbation**: We introduce 6 types of errors to one of the intermediate steps in the solutions from the test set of [PRM800K](https://github.com/openai/prm800k).",MR-GSM8K,DATASET
357,"For more details, see the official repository for [MR-GSM8K](https://github.com/dvlab-research/MR-GSM8K). - **Perturbation**: We introduce 6 types of errors to one of the intermediate steps in the solutions from the test set of [PRM800K](https://github.com/openai/prm800k).",Perturbation,DATASET
358,"For more details, see the official repository for [MR-GSM8K](https://github.com/dvlab-research/MR-GSM8K). - **Perturbation**: We introduce 6 types of errors to one of the intermediate steps in the solutions from the test set of [PRM800K](https://github.com/openai/prm800k).",PRM800K,DATASET
359,"For more details, see the official repository for [MR-GSM8K](https://github.com/dvlab-research/MR-GSM8K). - **Perturbation**: We introduce 6 types of errors to one of the intermediate steps in the solutions from the test set of [PRM800K](https://github.com/openai/prm800k).",prm800k,DATASET
360,/dataset/perturbation.json   {     // Instance ID.,perturbatio,DATASET
361,/codes/mr-gsm8k_eval.py python .,mr-gsm8k,DATASET
362,/codes/mr-math_eval.py --error_type invalid python .,mr-math,DATASET
363,"/codes/mr-math_eval.py --error_type redundant ```  ### Citation Please cite the paper if the resource in this repo or the paper is helpful to you. ``` @article{xia2024evaluating,         title={Evaluating Mathematical Reasoning Beyond Accuracy},          author={Xia, Shijie and Li, Xuefeng and Liu, Yixin and Wu, Tongshuang and Liu, Pengfei},         journal={arXiv preprint arXiv:2404.05692},         year={2024}, } ```",mr-math,DATASET
364,"|  Model | Dataset  | # S  | Accuracy | | ------------------ |---------------- | -------------- | -------------- | | TnT  |    MNIST        |      600      |     90.87±0.31       | | CART  |     MNIST         |      1.1k       |    88.59±0.14      | | TnT  |    Connect-4        |      864      |     78.85±0.46       | | CART  |     Connect-4         |      931       |    77.23±0.01      | | TnT  |    Letter      |      1.2k     |     86.62±0.02       | | CART  |     Letter         |      1.3k       |    86.26±0.15      | | TnT  |    Optical recognition     |      174     |     86.32±0.24       | | CART  |     Optical recognition         |      193       |    85.56±0.46      | | TnT  |    Pendigits       |      125     |     92.61±0.53       | | CART  |     Pendigits         |    166       |    91.74±0.13      | | TnT  |    Protein       |      69      |     57.26       | | CART  |     Protein         |     76       |    55.30      | | TnT  |    SenseIT     |      198    |     80.48±0.42       | | CART  |     SenseIT         |      345       |    79.40      | | TnT  |    USPS       |      31      |     88.76±1.36       | | CART  |     USPS         |      109       |    87.35±0.15      |  ## Citation If you use this code for research, please consider citing our paper: ``` @misc{zhu2021tree,       title={Tree in Tree: from Decision Trees to Decision Graphs},        author={Bingzhao Zhu and Mahsa Shoaran},       year={2021},       eprint={2110.00392},       archivePrefix={arXiv},       primaryClass={cs.LG} }",MNIST,DATASET
365,"|  Model | Dataset  | # S  | Accuracy | | ------------------ |---------------- | -------------- | -------------- | | TnT  |    MNIST        |      600      |     90.87±0.31       | | CART  |     MNIST         |      1.1k       |    88.59±0.14      | | TnT  |    Connect-4        |      864      |     78.85±0.46       | | CART  |     Connect-4         |      931       |    77.23±0.01      | | TnT  |    Letter      |      1.2k     |     86.62±0.02       | | CART  |     Letter         |      1.3k       |    86.26±0.15      | | TnT  |    Optical recognition     |      174     |     86.32±0.24       | | CART  |     Optical recognition         |      193       |    85.56±0.46      | | TnT  |    Pendigits       |      125     |     92.61±0.53       | | CART  |     Pendigits         |    166       |    91.74±0.13      | | TnT  |    Protein       |      69      |     57.26       | | CART  |     Protein         |     76       |    55.30      | | TnT  |    SenseIT     |      198    |     80.48±0.42       | | CART  |     SenseIT         |      345       |    79.40      | | TnT  |    USPS       |      31      |     88.76±1.36       | | CART  |     USPS         |      109       |    87.35±0.15      |  ## Citation If you use this code for research, please consider citing our paper: ``` @misc{zhu2021tree,       title={Tree in Tree: from Decision Trees to Decision Graphs},        author={Bingzhao Zhu and Mahsa Shoaran},       year={2021},       eprint={2110.00392},       archivePrefix={arXiv},       primaryClass={cs.LG} }",MNIST,DATASET
366,"|  Model | Dataset  | # S  | Accuracy | | ------------------ |---------------- | -------------- | -------------- | | TnT  |    MNIST        |      600      |     90.87±0.31       | | CART  |     MNIST         |      1.1k       |    88.59±0.14      | | TnT  |    Connect-4        |      864      |     78.85±0.46       | | CART  |     Connect-4         |      931       |    77.23±0.01      | | TnT  |    Letter      |      1.2k     |     86.62±0.02       | | CART  |     Letter         |      1.3k       |    86.26±0.15      | | TnT  |    Optical recognition     |      174     |     86.32±0.24       | | CART  |     Optical recognition         |      193       |    85.56±0.46      | | TnT  |    Pendigits       |      125     |     92.61±0.53       | | CART  |     Pendigits         |    166       |    91.74±0.13      | | TnT  |    Protein       |      69      |     57.26       | | CART  |     Protein         |     76       |    55.30      | | TnT  |    SenseIT     |      198    |     80.48±0.42       | | CART  |     SenseIT         |      345       |    79.40      | | TnT  |    USPS       |      31      |     88.76±1.36       | | CART  |     USPS         |      109       |    87.35±0.15      |  ## Citation If you use this code for research, please consider citing our paper: ``` @misc{zhu2021tree,       title={Tree in Tree: from Decision Trees to Decision Graphs},        author={Bingzhao Zhu and Mahsa Shoaran},       year={2021},       eprint={2110.00392},       archivePrefix={arXiv},       primaryClass={cs.LG} }",Connect-4,DATASET
367,"|  Model | Dataset  | # S  | Accuracy | | ------------------ |---------------- | -------------- | -------------- | | TnT  |    MNIST        |      600      |     90.87±0.31       | | CART  |     MNIST         |      1.1k       |    88.59±0.14      | | TnT  |    Connect-4        |      864      |     78.85±0.46       | | CART  |     Connect-4         |      931       |    77.23±0.01      | | TnT  |    Letter      |      1.2k     |     86.62±0.02       | | CART  |     Letter         |      1.3k       |    86.26±0.15      | | TnT  |    Optical recognition     |      174     |     86.32±0.24       | | CART  |     Optical recognition         |      193       |    85.56±0.46      | | TnT  |    Pendigits       |      125     |     92.61±0.53       | | CART  |     Pendigits         |    166       |    91.74±0.13      | | TnT  |    Protein       |      69      |     57.26       | | CART  |     Protein         |     76       |    55.30      | | TnT  |    SenseIT     |      198    |     80.48±0.42       | | CART  |     SenseIT         |      345       |    79.40      | | TnT  |    USPS       |      31      |     88.76±1.36       | | CART  |     USPS         |      109       |    87.35±0.15      |  ## Citation If you use this code for research, please consider citing our paper: ``` @misc{zhu2021tree,       title={Tree in Tree: from Decision Trees to Decision Graphs},        author={Bingzhao Zhu and Mahsa Shoaran},       year={2021},       eprint={2110.00392},       archivePrefix={arXiv},       primaryClass={cs.LG} }",Connect-4,DATASET
368,"|  Model | Dataset  | # S  | Accuracy | | ------------------ |---------------- | -------------- | -------------- | | TnT  |    MNIST        |      600      |     90.87±0.31       | | CART  |     MNIST         |      1.1k       |    88.59±0.14      | | TnT  |    Connect-4        |      864      |     78.85±0.46       | | CART  |     Connect-4         |      931       |    77.23±0.01      | | TnT  |    Letter      |      1.2k     |     86.62±0.02       | | CART  |     Letter         |      1.3k       |    86.26±0.15      | | TnT  |    Optical recognition     |      174     |     86.32±0.24       | | CART  |     Optical recognition         |      193       |    85.56±0.46      | | TnT  |    Pendigits       |      125     |     92.61±0.53       | | CART  |     Pendigits         |    166       |    91.74±0.13      | | TnT  |    Protein       |      69      |     57.26       | | CART  |     Protein         |     76       |    55.30      | | TnT  |    SenseIT     |      198    |     80.48±0.42       | | CART  |     SenseIT         |      345       |    79.40      | | TnT  |    USPS       |      31      |     88.76±1.36       | | CART  |     USPS         |      109       |    87.35±0.15      |  ## Citation If you use this code for research, please consider citing our paper: ``` @misc{zhu2021tree,       title={Tree in Tree: from Decision Trees to Decision Graphs},        author={Bingzhao Zhu and Mahsa Shoaran},       year={2021},       eprint={2110.00392},       archivePrefix={arXiv},       primaryClass={cs.LG} }",Letter,DATASET
369,"|  Model | Dataset  | # S  | Accuracy | | ------------------ |---------------- | -------------- | -------------- | | TnT  |    MNIST        |      600      |     90.87±0.31       | | CART  |     MNIST         |      1.1k       |    88.59±0.14      | | TnT  |    Connect-4        |      864      |     78.85±0.46       | | CART  |     Connect-4         |      931       |    77.23±0.01      | | TnT  |    Letter      |      1.2k     |     86.62±0.02       | | CART  |     Letter         |      1.3k       |    86.26±0.15      | | TnT  |    Optical recognition     |      174     |     86.32±0.24       | | CART  |     Optical recognition         |      193       |    85.56±0.46      | | TnT  |    Pendigits       |      125     |     92.61±0.53       | | CART  |     Pendigits         |    166       |    91.74±0.13      | | TnT  |    Protein       |      69      |     57.26       | | CART  |     Protein         |     76       |    55.30      | | TnT  |    SenseIT     |      198    |     80.48±0.42       | | CART  |     SenseIT         |      345       |    79.40      | | TnT  |    USPS       |      31      |     88.76±1.36       | | CART  |     USPS         |      109       |    87.35±0.15      |  ## Citation If you use this code for research, please consider citing our paper: ``` @misc{zhu2021tree,       title={Tree in Tree: from Decision Trees to Decision Graphs},        author={Bingzhao Zhu and Mahsa Shoaran},       year={2021},       eprint={2110.00392},       archivePrefix={arXiv},       primaryClass={cs.LG} }",Letter,DATASET
370,"|  Model | Dataset  | # S  | Accuracy | | ------------------ |---------------- | -------------- | -------------- | | TnT  |    MNIST        |      600      |     90.87±0.31       | | CART  |     MNIST         |      1.1k       |    88.59±0.14      | | TnT  |    Connect-4        |      864      |     78.85±0.46       | | CART  |     Connect-4         |      931       |    77.23±0.01      | | TnT  |    Letter      |      1.2k     |     86.62±0.02       | | CART  |     Letter         |      1.3k       |    86.26±0.15      | | TnT  |    Optical recognition     |      174     |     86.32±0.24       | | CART  |     Optical recognition         |      193       |    85.56±0.46      | | TnT  |    Pendigits       |      125     |     92.61±0.53       | | CART  |     Pendigits         |    166       |    91.74±0.13      | | TnT  |    Protein       |      69      |     57.26       | | CART  |     Protein         |     76       |    55.30      | | TnT  |    SenseIT     |      198    |     80.48±0.42       | | CART  |     SenseIT         |      345       |    79.40      | | TnT  |    USPS       |      31      |     88.76±1.36       | | CART  |     USPS         |      109       |    87.35±0.15      |  ## Citation If you use this code for research, please consider citing our paper: ``` @misc{zhu2021tree,       title={Tree in Tree: from Decision Trees to Decision Graphs},        author={Bingzhao Zhu and Mahsa Shoaran},       year={2021},       eprint={2110.00392},       archivePrefix={arXiv},       primaryClass={cs.LG} }",Optical recognition,DATASET
371,"|  Model | Dataset  | # S  | Accuracy | | ------------------ |---------------- | -------------- | -------------- | | TnT  |    MNIST        |      600      |     90.87±0.31       | | CART  |     MNIST         |      1.1k       |    88.59±0.14      | | TnT  |    Connect-4        |      864      |     78.85±0.46       | | CART  |     Connect-4         |      931       |    77.23±0.01      | | TnT  |    Letter      |      1.2k     |     86.62±0.02       | | CART  |     Letter         |      1.3k       |    86.26±0.15      | | TnT  |    Optical recognition     |      174     |     86.32±0.24       | | CART  |     Optical recognition         |      193       |    85.56±0.46      | | TnT  |    Pendigits       |      125     |     92.61±0.53       | | CART  |     Pendigits         |    166       |    91.74±0.13      | | TnT  |    Protein       |      69      |     57.26       | | CART  |     Protein         |     76       |    55.30      | | TnT  |    SenseIT     |      198    |     80.48±0.42       | | CART  |     SenseIT         |      345       |    79.40      | | TnT  |    USPS       |      31      |     88.76±1.36       | | CART  |     USPS         |      109       |    87.35±0.15      |  ## Citation If you use this code for research, please consider citing our paper: ``` @misc{zhu2021tree,       title={Tree in Tree: from Decision Trees to Decision Graphs},        author={Bingzhao Zhu and Mahsa Shoaran},       year={2021},       eprint={2110.00392},       archivePrefix={arXiv},       primaryClass={cs.LG} }",Optical recognition,DATASET
372,"|  Model | Dataset  | # S  | Accuracy | | ------------------ |---------------- | -------------- | -------------- | | TnT  |    MNIST        |      600      |     90.87±0.31       | | CART  |     MNIST         |      1.1k       |    88.59±0.14      | | TnT  |    Connect-4        |      864      |     78.85±0.46       | | CART  |     Connect-4         |      931       |    77.23±0.01      | | TnT  |    Letter      |      1.2k     |     86.62±0.02       | | CART  |     Letter         |      1.3k       |    86.26±0.15      | | TnT  |    Optical recognition     |      174     |     86.32±0.24       | | CART  |     Optical recognition         |      193       |    85.56±0.46      | | TnT  |    Pendigits       |      125     |     92.61±0.53       | | CART  |     Pendigits         |    166       |    91.74±0.13      | | TnT  |    Protein       |      69      |     57.26       | | CART  |     Protein         |     76       |    55.30      | | TnT  |    SenseIT     |      198    |     80.48±0.42       | | CART  |     SenseIT         |      345       |    79.40      | | TnT  |    USPS       |      31      |     88.76±1.36       | | CART  |     USPS         |      109       |    87.35±0.15      |  ## Citation If you use this code for research, please consider citing our paper: ``` @misc{zhu2021tree,       title={Tree in Tree: from Decision Trees to Decision Graphs},        author={Bingzhao Zhu and Mahsa Shoaran},       year={2021},       eprint={2110.00392},       archivePrefix={arXiv},       primaryClass={cs.LG} }",Pendigits,DATASET
373,"|  Model | Dataset  | # S  | Accuracy | | ------------------ |---------------- | -------------- | -------------- | | TnT  |    MNIST        |      600      |     90.87±0.31       | | CART  |     MNIST         |      1.1k       |    88.59±0.14      | | TnT  |    Connect-4        |      864      |     78.85±0.46       | | CART  |     Connect-4         |      931       |    77.23±0.01      | | TnT  |    Letter      |      1.2k     |     86.62±0.02       | | CART  |     Letter         |      1.3k       |    86.26±0.15      | | TnT  |    Optical recognition     |      174     |     86.32±0.24       | | CART  |     Optical recognition         |      193       |    85.56±0.46      | | TnT  |    Pendigits       |      125     |     92.61±0.53       | | CART  |     Pendigits         |    166       |    91.74±0.13      | | TnT  |    Protein       |      69      |     57.26       | | CART  |     Protein         |     76       |    55.30      | | TnT  |    SenseIT     |      198    |     80.48±0.42       | | CART  |     SenseIT         |      345       |    79.40      | | TnT  |    USPS       |      31      |     88.76±1.36       | | CART  |     USPS         |      109       |    87.35±0.15      |  ## Citation If you use this code for research, please consider citing our paper: ``` @misc{zhu2021tree,       title={Tree in Tree: from Decision Trees to Decision Graphs},        author={Bingzhao Zhu and Mahsa Shoaran},       year={2021},       eprint={2110.00392},       archivePrefix={arXiv},       primaryClass={cs.LG} }",Pendigits,DATASET
374,"|  Model | Dataset  | # S  | Accuracy | | ------------------ |---------------- | -------------- | -------------- | | TnT  |    MNIST        |      600      |     90.87±0.31       | | CART  |     MNIST         |      1.1k       |    88.59±0.14      | | TnT  |    Connect-4        |      864      |     78.85±0.46       | | CART  |     Connect-4         |      931       |    77.23±0.01      | | TnT  |    Letter      |      1.2k     |     86.62±0.02       | | CART  |     Letter         |      1.3k       |    86.26±0.15      | | TnT  |    Optical recognition     |      174     |     86.32±0.24       | | CART  |     Optical recognition         |      193       |    85.56±0.46      | | TnT  |    Pendigits       |      125     |     92.61±0.53       | | CART  |     Pendigits         |    166       |    91.74±0.13      | | TnT  |    Protein       |      69      |     57.26       | | CART  |     Protein         |     76       |    55.30      | | TnT  |    SenseIT     |      198    |     80.48±0.42       | | CART  |     SenseIT         |      345       |    79.40      | | TnT  |    USPS       |      31      |     88.76±1.36       | | CART  |     USPS         |      109       |    87.35±0.15      |  ## Citation If you use this code for research, please consider citing our paper: ``` @misc{zhu2021tree,       title={Tree in Tree: from Decision Trees to Decision Graphs},        author={Bingzhao Zhu and Mahsa Shoaran},       year={2021},       eprint={2110.00392},       archivePrefix={arXiv},       primaryClass={cs.LG} }",Protein,DATASET
375,"|  Model | Dataset  | # S  | Accuracy | | ------------------ |---------------- | -------------- | -------------- | | TnT  |    MNIST        |      600      |     90.87±0.31       | | CART  |     MNIST         |      1.1k       |    88.59±0.14      | | TnT  |    Connect-4        |      864      |     78.85±0.46       | | CART  |     Connect-4         |      931       |    77.23±0.01      | | TnT  |    Letter      |      1.2k     |     86.62±0.02       | | CART  |     Letter         |      1.3k       |    86.26±0.15      | | TnT  |    Optical recognition     |      174     |     86.32±0.24       | | CART  |     Optical recognition         |      193       |    85.56±0.46      | | TnT  |    Pendigits       |      125     |     92.61±0.53       | | CART  |     Pendigits         |    166       |    91.74±0.13      | | TnT  |    Protein       |      69      |     57.26       | | CART  |     Protein         |     76       |    55.30      | | TnT  |    SenseIT     |      198    |     80.48±0.42       | | CART  |     SenseIT         |      345       |    79.40      | | TnT  |    USPS       |      31      |     88.76±1.36       | | CART  |     USPS         |      109       |    87.35±0.15      |  ## Citation If you use this code for research, please consider citing our paper: ``` @misc{zhu2021tree,       title={Tree in Tree: from Decision Trees to Decision Graphs},        author={Bingzhao Zhu and Mahsa Shoaran},       year={2021},       eprint={2110.00392},       archivePrefix={arXiv},       primaryClass={cs.LG} }",Protein,DATASET
376,"|  Model | Dataset  | # S  | Accuracy | | ------------------ |---------------- | -------------- | -------------- | | TnT  |    MNIST        |      600      |     90.87±0.31       | | CART  |     MNIST         |      1.1k       |    88.59±0.14      | | TnT  |    Connect-4        |      864      |     78.85±0.46       | | CART  |     Connect-4         |      931       |    77.23±0.01      | | TnT  |    Letter      |      1.2k     |     86.62±0.02       | | CART  |     Letter         |      1.3k       |    86.26±0.15      | | TnT  |    Optical recognition     |      174     |     86.32±0.24       | | CART  |     Optical recognition         |      193       |    85.56±0.46      | | TnT  |    Pendigits       |      125     |     92.61±0.53       | | CART  |     Pendigits         |    166       |    91.74±0.13      | | TnT  |    Protein       |      69      |     57.26       | | CART  |     Protein         |     76       |    55.30      | | TnT  |    SenseIT     |      198    |     80.48±0.42       | | CART  |     SenseIT         |      345       |    79.40      | | TnT  |    USPS       |      31      |     88.76±1.36       | | CART  |     USPS         |      109       |    87.35±0.15      |  ## Citation If you use this code for research, please consider citing our paper: ``` @misc{zhu2021tree,       title={Tree in Tree: from Decision Trees to Decision Graphs},        author={Bingzhao Zhu and Mahsa Shoaran},       year={2021},       eprint={2110.00392},       archivePrefix={arXiv},       primaryClass={cs.LG} }",SenseIT,DATASET
377,"|  Model | Dataset  | # S  | Accuracy | | ------------------ |---------------- | -------------- | -------------- | | TnT  |    MNIST        |      600      |     90.87±0.31       | | CART  |     MNIST         |      1.1k       |    88.59±0.14      | | TnT  |    Connect-4        |      864      |     78.85±0.46       | | CART  |     Connect-4         |      931       |    77.23±0.01      | | TnT  |    Letter      |      1.2k     |     86.62±0.02       | | CART  |     Letter         |      1.3k       |    86.26±0.15      | | TnT  |    Optical recognition     |      174     |     86.32±0.24       | | CART  |     Optical recognition         |      193       |    85.56±0.46      | | TnT  |    Pendigits       |      125     |     92.61±0.53       | | CART  |     Pendigits         |    166       |    91.74±0.13      | | TnT  |    Protein       |      69      |     57.26       | | CART  |     Protein         |     76       |    55.30      | | TnT  |    SenseIT     |      198    |     80.48±0.42       | | CART  |     SenseIT         |      345       |    79.40      | | TnT  |    USPS       |      31      |     88.76±1.36       | | CART  |     USPS         |      109       |    87.35±0.15      |  ## Citation If you use this code for research, please consider citing our paper: ``` @misc{zhu2021tree,       title={Tree in Tree: from Decision Trees to Decision Graphs},        author={Bingzhao Zhu and Mahsa Shoaran},       year={2021},       eprint={2110.00392},       archivePrefix={arXiv},       primaryClass={cs.LG} }",SenseIT,DATASET
378,"|  Model | Dataset  | # S  | Accuracy | | ------------------ |---------------- | -------------- | -------------- | | TnT  |    MNIST        |      600      |     90.87±0.31       | | CART  |     MNIST         |      1.1k       |    88.59±0.14      | | TnT  |    Connect-4        |      864      |     78.85±0.46       | | CART  |     Connect-4         |      931       |    77.23±0.01      | | TnT  |    Letter      |      1.2k     |     86.62±0.02       | | CART  |     Letter         |      1.3k       |    86.26±0.15      | | TnT  |    Optical recognition     |      174     |     86.32±0.24       | | CART  |     Optical recognition         |      193       |    85.56±0.46      | | TnT  |    Pendigits       |      125     |     92.61±0.53       | | CART  |     Pendigits         |    166       |    91.74±0.13      | | TnT  |    Protein       |      69      |     57.26       | | CART  |     Protein         |     76       |    55.30      | | TnT  |    SenseIT     |      198    |     80.48±0.42       | | CART  |     SenseIT         |      345       |    79.40      | | TnT  |    USPS       |      31      |     88.76±1.36       | | CART  |     USPS         |      109       |    87.35±0.15      |  ## Citation If you use this code for research, please consider citing our paper: ``` @misc{zhu2021tree,       title={Tree in Tree: from Decision Trees to Decision Graphs},        author={Bingzhao Zhu and Mahsa Shoaran},       year={2021},       eprint={2110.00392},       archivePrefix={arXiv},       primaryClass={cs.LG} }",USPS,DATASET
379,"|  Model | Dataset  | # S  | Accuracy | | ------------------ |---------------- | -------------- | -------------- | | TnT  |    MNIST        |      600      |     90.87±0.31       | | CART  |     MNIST         |      1.1k       |    88.59±0.14      | | TnT  |    Connect-4        |      864      |     78.85±0.46       | | CART  |     Connect-4         |      931       |    77.23±0.01      | | TnT  |    Letter      |      1.2k     |     86.62±0.02       | | CART  |     Letter         |      1.3k       |    86.26±0.15      | | TnT  |    Optical recognition     |      174     |     86.32±0.24       | | CART  |     Optical recognition         |      193       |    85.56±0.46      | | TnT  |    Pendigits       |      125     |     92.61±0.53       | | CART  |     Pendigits         |    166       |    91.74±0.13      | | TnT  |    Protein       |      69      |     57.26       | | CART  |     Protein         |     76       |    55.30      | | TnT  |    SenseIT     |      198    |     80.48±0.42       | | CART  |     SenseIT         |      345       |    79.40      | | TnT  |    USPS       |      31      |     88.76±1.36       | | CART  |     USPS         |      109       |    87.35±0.15      |  ## Citation If you use this code for research, please consider citing our paper: ``` @misc{zhu2021tree,       title={Tree in Tree: from Decision Trees to Decision Graphs},        author={Bingzhao Zhu and Mahsa Shoaran},       year={2021},       eprint={2110.00392},       archivePrefix={arXiv},       primaryClass={cs.LG} }",USPS,DATASET
