#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[57]|*[403]	ONTOLOGY[57]|DATASET[57]|EVALMETRIC[57]|SOFTWARE[57]|PUBLICATION[57]|WORKSHOP[57]|PROGLANG[57]|LICENSE[57]|PROJECT[57]|CONFERENCE[403]
15-2	1365-1374	lightning	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-3	1374-1375	\]	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-4	1375-1376	(	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-5	1376-1381	https	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-6	1381-1382	:	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-7	1382-1383	/	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-8	1383-1384	/	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-9	1384-1398	img.shields.io	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-10	1398-1399	/	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-11	1399-1404	badge	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-12	1404-1405	/	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-13	1405-1406	-	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-14	1406-1415	Lightning	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-15	1415-1416	\_	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-16	1416-1421	2.2.1	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-17	1421-1422	-	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-18	1422-1428	792ee5	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]
15-19	1428-1429	?	*[378]	LICENSE[378]|DATASET[378]|PROJECT[378]|SOFTWARE[378]|PUBLICATION[378]|ONTOLOGY[378]|EVALMETRIC[378]|CONFERENCE[378]|PROGLANG[378]|WORKSHOP[378]

#Text=logo=pytorchlightning&logoColor=white)\](https://pytorchlightning.ai/) \[!
16-1	1429-1433	logo	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-2	1433-1434	=	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-3	1434-1450	pytorchlightning	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-4	1450-1451	&	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-5	1451-1460	logoColor	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-6	1460-1461	=	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-7	1461-1466	white	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-8	1466-1467	)	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-9	1467-1468	\]	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-10	1468-1469	(	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-11	1469-1474	https	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-12	1474-1475	:	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-13	1475-1476	/	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-14	1476-1477	/	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-15	1477-1496	pytorchlightning.ai	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-15	1477-1493	pytorchlightning	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-16	1496-1497	/	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-17	1497-1498	)	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-18	1499-1500	\[	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]
16-19	1500-1501	!	*[379]	PUBLICATION[379]|CONFERENCE[379]|PROGLANG[379]|WORKSHOP[379]|LICENSE[379]|ONTOLOGY[379]|PROJECT[379]|SOFTWARE[379]|DATASET[379]|EVALMETRIC[379]

#Text=\[hydra\](https://img.shields.io/badge/Config-Hydra\_1.3-89b8cd)\](https://hydra.cc/) \[!
17-1	1501-1502	\[	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-2	1502-1507	hydra	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-3	1507-1508	\]	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-4	1508-1509	(	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-5	1509-1514	https	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-6	1514-1515	:	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-7	1515-1516	/	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-8	1516-1517	/	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-9	1517-1531	img.shields.io	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-10	1531-1532	/	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-11	1532-1537	badge	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-12	1537-1538	/	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-13	1538-1550	Config-Hydra	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-13	1545-1550	Hydra	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-14	1550-1551	\_	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-15	1551-1554	1.3	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-16	1554-1555	-	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-17	1555-1561	89b8cd	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-18	1561-1562	)	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-19	1562-1563	\]	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-20	1563-1564	(	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-21	1564-1569	https	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-22	1569-1570	:	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-23	1570-1571	/	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-24	1571-1572	/	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-25	1572-1580	hydra.cc	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-25	1572-1577	hydra	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-26	1580-1581	/	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-27	1581-1582	)	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-28	1583-1584	\[	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]
17-29	1584-1585	!	*[380]	WORKSHOP[380]|LICENSE[380]|PROJECT[380]|SOFTWARE[380]|PUBLICATION[380]|DATASET[380]|ONTOLOGY[380]|EVALMETRIC[380]|PROGLANG[380]|CONFERENCE[380]

#Text=\[black\](https://img.shields.io/badge/Code%20Style-Black-black.svg?
18-1	1585-1586	\[	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-2	1586-1591	black	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-3	1591-1592	\]	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-4	1592-1593	(	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-5	1593-1598	https	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-6	1598-1599	:	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-7	1599-1600	/	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-8	1600-1601	/	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-9	1601-1615	img.shields.io	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-10	1615-1616	/	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-11	1616-1621	badge	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-12	1621-1622	/	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-13	1622-1626	Code	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-14	1626-1627	%	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-15	1627-1650	20Style-Black-black.svg	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-15	1635-1640	Black	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-15	1641-1646	black	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]
18-16	1650-1651	?	*[381]	ONTOLOGY[381]|DATASET[381]|PROJECT[381]|EVALMETRIC[381]|SOFTWARE[381]|PUBLICATION[381]|CONFERENCE[381]|PROGLANG[381]|WORKSHOP[381]|LICENSE[381]

#Text=labelColor=gray)\](https://black.readthedocs.io/en/stable/) \[!
19-1	1651-1661	labelColor	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-2	1661-1662	=	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-3	1662-1666	gray	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-4	1666-1667	)	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-5	1667-1668	\]	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-6	1668-1669	(	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-7	1669-1674	https	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-8	1674-1675	:	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-9	1675-1676	/	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-10	1676-1677	/	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-11	1677-1697	black.readthedocs.io	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-11	1677-1682	black	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-12	1697-1698	/	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-13	1698-1700	en	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-14	1700-1701	/	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-15	1701-1707	stable	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-16	1707-1708	/	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-17	1708-1709	)	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-18	1710-1711	\[	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]
19-19	1711-1712	!	*[382]	EVALMETRIC[382]|SOFTWARE[382]|CONFERENCE[382]|WORKSHOP[382]|PROGLANG[382]|DATASET[382]|LICENSE[382]|PROJECT[382]|PUBLICATION[382]|ONTOLOGY[382]

#Text=\[isort\](https://img.shields.io/badge/%20imports-isort-%231674b1?
20-1	1712-1713	\[	*[383]	PROGLANG[383]|WORKSHOP[383]|LICENSE[383]|DATASET[383]|PROJECT[383]|SOFTWARE[383]|PUBLICATION[383]|ONTOLOGY[383]|EVALMETRIC[383]|CONFERENCE[383]
20-2	1713-1718	isort	*[383]	PROGLANG[383]|WORKSHOP[383]|LICENSE[383]|DATASET[383]|PROJECT[383]|SOFTWARE[383]|PUBLICATION[383]|ONTOLOGY[383]|EVALMETRIC[383]|CONFERENCE[383]
20-3	1718-1719	\]	*[383]	PROGLANG[383]|WORKSHOP[383]|LICENSE[383]|DATASET[383]|PROJECT[383]|SOFTWARE[383]|PUBLICATION[383]|ONTOLOGY[383]|EVALMETRIC[383]|CONFERENCE[383]
20-4	1719-1720	(	*[383]	PROGLANG[383]|WORKSHOP[383]|LICENSE[383]|DATASET[383]|PROJECT[383]|SOFTWARE[383]|PUBLICATION[383]|ONTOLOGY[383]|EVALMETRIC[383]|CONFERENCE[383]
