#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[57]|*[72]	DATASET[57]|ONTOLOGY[57]|EVALMETRIC[57]|SOFTWARE[57]|PUBLICATION[57]|PROJECT[57]|WORKSHOP[57]|PROGLANG[57]|LICENSE[57]|CONFERENCE[72]
1-86	187-188	"	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-87	188-189	\[	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-88	189-197	Parallel	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-89	198-208	Clustering	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-90	209-211	of	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-91	212-218	Single	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-92	219-223	Cell	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-93	224-238	Transcriptomic	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-94	239-243	Data	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-95	244-248	with	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-96	249-260	Split-Merge	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-97	261-269	Sampling	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-98	270-272	on	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-99	273-282	Dirichlet	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-100	283-290	Process	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-101	291-299	Mixtures	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-102	299-300	\]	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-103	300-301	(	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-104	301-306	https	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-105	306-307	:	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-106	307-308	/	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-107	308-309	/	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-108	309-318	arxiv.org	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-109	318-319	/	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-110	319-322	pdf	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-111	322-323	/	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-112	323-333	1812.10048	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-113	333-334	.	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-114	334-337	pdf	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-115	337-338	)	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-116	338-339	"	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-117	339-340	,	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-118	341-347	Author	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-119	347-348	:	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-120	349-356	Tiehang	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-121	357-361	Duan	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-122	361-362	\;	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-123	363-367	José	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-124	368-369	P	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]
1-125	369-370	.	*[58]	PROGLANG[58]|WORKSHOP[58]|LICENSE[58]|PROJECT[58]|ONTOLOGY[58]|PUBLICATION[58]|DATASET[58]|SOFTWARE[58]|EVALMETRIC[58]|CONFERENCE[58]

#Text=Pinto\; Xiaohui Xie\;   # 1.
2-1	371-376	Pinto	*[59]	LICENSE[59]|ONTOLOGY[59]|DATASET[59]|PROJECT[59]|EVALMETRIC[59]|SOFTWARE[59]|PUBLICATION[59]|CONFERENCE[59]|PROGLANG[59]|WORKSHOP[59]
2-2	376-377	\;	*[59]	LICENSE[59]|ONTOLOGY[59]|DATASET[59]|PROJECT[59]|EVALMETRIC[59]|SOFTWARE[59]|PUBLICATION[59]|CONFERENCE[59]|PROGLANG[59]|WORKSHOP[59]
2-3	378-385	Xiaohui	*[59]	LICENSE[59]|ONTOLOGY[59]|DATASET[59]|PROJECT[59]|EVALMETRIC[59]|SOFTWARE[59]|PUBLICATION[59]|CONFERENCE[59]|PROGLANG[59]|WORKSHOP[59]
2-4	386-389	Xie	*[59]	LICENSE[59]|ONTOLOGY[59]|DATASET[59]|PROJECT[59]|EVALMETRIC[59]|SOFTWARE[59]|PUBLICATION[59]|CONFERENCE[59]|PROGLANG[59]|WORKSHOP[59]
2-5	389-390	\;	*[59]	LICENSE[59]|ONTOLOGY[59]|DATASET[59]|PROJECT[59]|EVALMETRIC[59]|SOFTWARE[59]|PUBLICATION[59]|CONFERENCE[59]|PROGLANG[59]|WORKSHOP[59]
2-6	393-394	#	*[59]	LICENSE[59]|ONTOLOGY[59]|DATASET[59]|PROJECT[59]|EVALMETRIC[59]|SOFTWARE[59]|PUBLICATION[59]|CONFERENCE[59]|PROGLANG[59]|WORKSHOP[59]
2-7	395-396	1	*[59]	LICENSE[59]|ONTOLOGY[59]|DATASET[59]|PROJECT[59]|EVALMETRIC[59]|SOFTWARE[59]|PUBLICATION[59]|CONFERENCE[59]|PROGLANG[59]|WORKSHOP[59]
2-8	396-397	.	*[59]	LICENSE[59]|ONTOLOGY[59]|DATASET[59]|PROJECT[59]|EVALMETRIC[59]|SOFTWARE[59]|PUBLICATION[59]|CONFERENCE[59]|PROGLANG[59]|WORKSHOP[59]

#Text=Data Preparation:  In the datasets folder, we included the mat files that are used in the paper's experiment part.
3-1	398-402	Data	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-2	403-414	Preparation	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-3	414-415	:	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-4	417-419	In	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-5	420-423	the	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-6	424-432	datasets	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-7	433-439	folder	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-8	439-440	,	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-9	441-443	we	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-10	444-452	included	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-11	453-456	the	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-12	457-460	mat	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-13	461-466	files	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-14	467-471	that	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-15	472-475	are	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-16	476-480	used	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-17	481-483	in	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-18	484-487	the	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-19	488-495	paper's	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-20	496-506	experiment	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-21	507-511	part	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]
3-22	511-512	.	*[60]	PUBLICATION[60]|DATASET[60]|ONTOLOGY[60]|EVALMETRIC[60]|SOFTWARE[60]|CONFERENCE[60]|WORKSHOP[60]|PROGLANG[60]|LICENSE[60]|PROJECT[60]

#Text=You can also prepare your own data following the procedures below.  ## 1.1  Download raw datasets from 10X genomics website (https://support.10xgenomics.com/single-cell-gene-expression/datasets) and store the files in the datasets folder\;  ## 1.2  Follow the comments in "data\_preparation.m" to modify the file names based on the downloaded data files\;  ## 1.3  Follow the comments in "data\_preparation.m" to set the number of cells (randomly selected) and top variable genes\;  ## 1.4  Run "data\_preparation.m"\;     # 2.
4-1	513-516	You	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-2	517-520	can	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-3	521-525	also	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-4	526-533	prepare	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-5	534-538	your	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-6	539-542	own	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-7	543-547	data	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-8	548-557	following	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-9	558-561	the	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-10	562-572	procedures	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-11	573-578	below	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-12	578-579	.	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-13	581-582	#	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-14	582-583	#	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-15	584-587	1.1	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-16	589-597	Download	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-17	598-601	raw	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-18	602-610	datasets	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-19	611-615	from	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-20	616-619	10X	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-21	620-628	genomics	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-22	629-636	website	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-23	637-638	(	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-24	638-643	https	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-25	643-644	:	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-26	644-645	/	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-27	645-646	/	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-28	646-653	support	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-29	653-669	.10xgenomics.com	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-30	669-670	/	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-31	670-697	single-cell-gene-expression	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-32	697-698	/	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-33	698-706	datasets	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-34	706-707	)	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-35	708-711	and	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-36	712-717	store	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-37	718-721	the	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-38	722-727	files	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-39	728-730	in	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-40	731-734	the	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-41	735-743	datasets	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
4-42	744-750	folder	*[61]	EVALMETRIC[61]|CONFERENCE[61]|PROGLANG[61]|WORKSHOP[61]|LICENSE[61]|DATASET[61]|ONTOLOGY[61]|PROJECT[61]|SOFTWARE[61]|PUBLICATION[61]
