#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=  
0-0	0-2	 	*[720]|*[1100]	PROGLANG[720]|WORKSHOP[720]|LICENSE[720]|ONTOLOGY[720]|PROJECT[720]|SOFTWARE[720]|DATASET[720]|EVALMETRIC[720]|PUBLICATION[720]|CONFERENCE[1100]
18-88	2031-2032	\]	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-89	2032-2033	(	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-90	2033-2037	http	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-91	2037-2038	:	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-92	2038-2039	/	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-93	2039-2040	/	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-94	2040-2052	www.aaai.org	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-94	2044-2048	aaai	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-95	2052-2053	/	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-96	2053-2064	Conferences	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-97	2064-2065	/	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-98	2065-2080	conferences.php	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-99	2080-2081	)	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-100	2081-2082	,	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-101	2083-2084	\[	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-102	2084-2089	IJCAI	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-103	2089-2090	\]	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-104	2090-2091	(	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-105	2091-2096	https	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-106	2096-2097	:	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-107	2097-2098	/	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-108	2098-2099	/	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-109	2099-2112	www.ijcai.org	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-109	2103-2108	ijcai	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-110	2112-2113	/	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-111	2113-2114	)	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-112	2114-2115	)	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-113	2116-2119	and	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-114	2120-2127	machine	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-115	2128-2136	learning	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-116	2137-2138	(	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-117	2138-2139	\[	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-118	2139-2146	NeurIPS	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-119	2146-2147	\]	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-120	2147-2148	(	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-121	2148-2153	https	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-122	2153-2154	:	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-123	2154-2155	/	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-124	2155-2156	/	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-125	2156-2163	nips.cc	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-125	2156-2160	nips	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-126	2163-2164	/	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-127	2164-2165	)	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-128	2165-2166	,	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-129	2167-2168	\[	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-130	2168-2172	ICML	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-131	2172-2173	\]	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-132	2173-2174	(	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-133	2174-2179	https	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-134	2179-2180	:	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-135	2180-2181	/	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-136	2181-2182	/	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-137	2182-2189	icml.cc	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-137	2182-2186	icml	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-138	2189-2190	/	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-139	2190-2191	)	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-140	2191-2192	,	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-141	2193-2194	\[	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-142	2194-2198	ICLR	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-143	2198-2199	\]	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-144	2199-2200	(	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-145	2200-2205	https	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-146	2205-2206	:	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-147	2206-2207	/	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-148	2207-2208	/	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-149	2208-2215	iclr.cc	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-149	2208-2212	iclr	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-150	2215-2216	/	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-151	2216-2217	)	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-152	2217-2218	)	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-153	2219-2230	conferences	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-154	2230-2231	,	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-155	2232-2241	workshops	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-156	2241-2242	,	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-157	2243-2246	and	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-158	2247-2253	pieces	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-159	2254-2258	from	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-160	2259-2268	prominent	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-161	2269-2277	journals	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]
18-162	2277-2278	.	*[1084]	WORKSHOP[1084]|LICENSE[1084]|DATASET[1084]|PROJECT[1084]|SOFTWARE[1084]|PUBLICATION[1084]|ONTOLOGY[1084]|EVALMETRIC[1084]|CONFERENCE[1084]|PROGLANG[1084]

#Text=The newly introduced graph classification datasets are available at \[SNAP\](https://snap.stanford.edu/data/#disjointgraphs), \[TUD Graph Kernel Datasets\](https://ls11-www.cs.tu-dortmund.de/staff/morris/graphkerneldatasets), and \[GraphLearning.io\](https://chrsmrrs.github.io/datasets/).  --------------------------------------------------------------  \*\*Citing\*\*  If you find \*Karate Club\* and the new datasets useful in your research, please consider citing the following paper:  ```bibtex @inproceedings{karateclub,        title = {{Karate Club: An API Oriented Open-source Python Framework for Unsupervised Learning on Graphs}},        author = {Benedek Rozemberczki and Oliver Kiss and Rik Sarkar},        year = {2020},        pages = {3125–3132},        booktitle = {Proceedings of the 29th ACM International Conference on Information and Knowledge Management (CIKM '20)},        organization = {ACM}, } ``` ----------------------------------------------------------------  \*\*A simple example\*\*  \*Karate Club\* makes the use of modern community detection techniques quite easy (see \[here\](https://karateclub.readthedocs.io/en/latest/notes/introduction.html) for the accompanying tutorial).
19-1	2280-2283	The	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-2	2284-2289	newly	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-3	2290-2300	introduced	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-4	2301-2306	graph	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-5	2307-2321	classification	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-6	2322-2330	datasets	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-7	2331-2334	are	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-8	2335-2344	available	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-9	2345-2347	at	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-10	2348-2349	\[	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-11	2349-2353	SNAP	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-12	2353-2354	\]	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-13	2354-2355	(	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-14	2355-2360	https	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-15	2360-2361	:	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-16	2361-2362	/	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-17	2362-2363	/	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-18	2363-2380	snap.stanford.edu	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-19	2380-2381	/	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
19-20	2381-2385	data	*[1085]	ONTOLOGY[1085]|DATASET[1085]|EVALMETRIC[1085]|SOFTWARE[1085]|PUBLICATION[1085]|CONFERENCE[1085]|WORKSHOP[1085]|PROGLANG[1085]|LICENSE[1085]|PROJECT[1085]
